tanggal,pelabuhan,kapal_berangkat,kapal_tiba,penumpang_naik,penumpang_turun
2018-01-13,LANCANG,4,4,113,186
2018-01-14,LANCANG,4,4,71,59
2018-01-15,LANCANG,4,4,75,64
2018-01-16,LANCANG,4,4,60,60
2018-01-17,LANCANG,4,4,65,74
2018-01-18,LANCANG,4,4,63,58
2018-01-19,LANCANG,4,4,70,77
2018-01-20,LANCANG,4,4,55,83
2018-01-21,LANCANG,4,4,95,80
2018-01-22,LANCANG,4,4,78,80
2018-01-23,LANCANG,4,4,65,69
2018-01-24,LANCANG,4,4,221,428
2018-01-25,LANCANG,4,4,50,59
2018-01-26,LANCANG,4,4,59,62
2018-01-27,LANCANG,4,4,179,72
2018-01-28,LANCANG,4,4,179,150
2018-01-29,LANCANG,4,4,61,63
2018-01-30,LANCANG,4,4,43,68
2018-01-31,LANCANG,4,4,95,56
2018-01-01,PARI,3,28,253,2705
2018-01-02,PARI,12,15,2364,1951
2018-01-03,PARI,5,5,379,317
2018-01-04,PARI,6,6,380,347
2018-01-05,PARI,6,9,295,483
2018-01-06,PARI,6,12,389,1080
2018-01-07,PARI,10,8,850,156
2018-01-08,PARI,5,4,72,96
2018-01-09,PARI,5,5,119,101
2018-01-10,PARI,4,6,144,188
2018-01-11,PARI,5,6,142,211
2018-01-12,PARI,5,7,117,300
2018-01-13,PARI,4,9,237,665
2018-01-14,PARI,12,5,814,100
2018-01-15,PARI,5,5,142,178
2018-01-16,PARI,4,7,160,119
2018-01-17,PARI,3,4,88,121
2018-01-18,PARI,4,4,135,62
2018-01-19,PARI,5,6,75,194
2018-01-20,PARI,7,13,455,1076
2018-01-21,PARI,7,4,689,87
2018-01-22,PARI,6,5,84,254
2018-01-23,PARI,5,4,175,59
2018-01-24,PARI,5,7,161,206
2018-01-25,PARI,4,4,142,130
2018-01-26,PARI,4,6,170,184
2018-01-27,PARI,4,9,78,1059
2018-01-28,PARI,10,4,1082,150
2018-01-29,PARI,4,8,189,166
2018-01-30,PARI,5,5,110,62
2018-01-31,PARI,4,5,104,51
2018-01-01,TIDUNG/PAYUNG,1,12,65,3508
2018-01-02,TIDUNG/PAYUNG,9,5,1399,275
2018-01-03,TIDUNG/PAYUNG,8,3,1460,247
2018-01-04,TIDUNG/PAYUNG,6,2,419,210
2018-01-05,TIDUNG/PAYUNG,3,3,314,445
2018-01-06,TIDUNG/PAYUNG,4,8,388,1335
2018-01-07,TIDUNG/PAYUNG,8,5,1043,507
2018-01-08,TIDUNG/PAYUNG,1,2,53,121
2018-01-09,TIDUNG/PAYUNG,2,2,90,121
2018-01-10,TIDUNG/PAYUNG,3,3,85,105
2018-01-11,TIDUNG/PAYUNG,3,3,93,186
2018-01-12,TIDUNG/PAYUNG,4,4,160,229
2018-01-13,TIDUNG/PAYUNG,4,8,234,1132
2018-01-14,TIDUNG/PAYUNG,9,4,1179,302
2018-01-15,TIDUNG/PAYUNG,3,5,345,1235
2018-01-16,TIDUNG/PAYUNG,4,4,207,167
2018-01-17,TIDUNG/PAYUNG,5,4,132,164
2018-01-18,TIDUNG/PAYUNG,3,4,129,253
2018-01-19,TIDUNG/PAYUNG,5,4,338,350
2018-01-20,TIDUNG/PAYUNG,4,6,254,462
2018-01-21,TIDUNG/PAYUNG,8,4,683,187
2018-01-22,TIDUNG/PAYUNG,2,3,162,216
2018-01-23,TIDUNG/PAYUNG,5,4,245,128
2018-01-24,TIDUNG/PAYUNG,3,2,112,109
2018-01-25,TIDUNG/PAYUNG,3,2,162,82
2018-01-26,TIDUNG/PAYUNG,4,4,147,240
2018-01-27,TIDUNG/PAYUNG,4,8,290,966
2018-01-28,TIDUNG/PAYUNG,8,3,737,127
2018-01-29,TIDUNG/PAYUNG,3,3,101,220
2018-01-30,TIDUNG/PAYUNG,3,3,156,118
2018-01-31,TIDUNG/PAYUNG,2,3,108,113
2018-01-01,PRAMUKA/PANGGANG,1,2,65,150
2018-01-02,PRAMUKA/PANGGANG,2,2,196,228
2018-01-03,PRAMUKA/PANGGANG,2,4,319,268
2018-01-04,PRAMUKA/PANGGANG,4,2,300,147
2018-01-05,PRAMUKA/PANGGANG,3,3,214,276
2018-01-06,PRAMUKA/PANGGANG,5,7,226,439
2018-01-07,PRAMUKA/PANGGANG,7,4,612,359
2018-01-08,PRAMUKA/PANGGANG,2,2,131,103
2018-01-09,PRAMUKA/PANGGANG,3,4,109,158
2018-01-10,PRAMUKA/PANGGANG,2,2,125,90
2018-01-11,PRAMUKA/PANGGANG,2,2,117,136
2018-01-12,PRAMUKA/PANGGANG,3,3,122,135
2018-01-13,PRAMUKA/PANGGANG,3,5,106,503
